months angles FOM_Fl Barigui_Fl Ligustrum_Fl FOM_Fr Barigui_Fr Ligustrum_Fr
Jan 0 38 10 34 57 12 7
Feb 30 32 8 8 67 8 10
Mar 60 17 7 1 55 9 11
Apr 90 10 7 1 39 8 23
May 120 9 6 4 33 7 41
Jun 150 7 8 7 22 6 44
Jul 180 5 6 4 11 5 44
Aug 210 9 9 2 7 7 44
Sep 240 31 13 3 6 8 32
Oct 270 60 17 5 5 8 25
Nov 300 68 15 13 9 8 12
Dec 330 58 13 28 10 15 7
